lon,lat,elev,agebp,tanom_djf,tanom_djf_er
-8.845833,37.979167,5,2797,-6.7,3.49939
-8.845833,37.979167,5,3012,-7.8625,3.88291
-8.845833,37.979167,5,3120,-6.3,3.28373
-8.845833,37.979167,5,3228,-6.7375,4.99598
-8.845833,37.979167,5,3335,-7.75,1.64143
-8.845833,37.979167,5,3414,-7.225,1.22795
-8.845833,37.979167,5,3556,-7.6875,1.42772
-8.845833,37.979167,5,3669,-7.675,0.824188
-8.845833,37.979167,5,3763,-7.575,4.04042
-8.845833,37.979167,5,3811,-6.7375,4.46092
-8.845833,37.979167,5,3858,-7.15,1.99069
-8.845833,37.979167,5,3953,-7.525,2.0041
-8.845833,37.979167,5,4095,-5.95,4.79911
-8.845833,37.979167,5,4143,-6.9625,3.47396
-8.845833,37.979167,5,4190,-5.8625,3.53591
-8.845833,37.979167,5,4237,-6.3625,4.82995
-8.845833,37.979167,5,4379,-7.75,4.24903
-8.845833,37.979167,5,4417,-4,3.46575
-8.845833,37.979167,5,4455,-5.225,4.89249
-8.845833,37.979167,5,4522,-5.6625,4.76233
-8.845833,37.979167,5,4573,-7.2625,2.23475
-8.845833,37.979167,5,4687,-6.6375,4.89663
-8.845833,37.979167,5,4744,-7.3,4.40681
-8.845833,37.979167,5,4801,-6.7125,2.42807
-8.845833,37.979167,5,4858,-5.45,2.4172
-8.845833,37.979167,5,4915,-6.75,2.42487
-8.845833,37.979167,5,4972,-7.0125,2.44858
-8.845833,37.979167,5,5029,-6.55,3.36325
-8.845833,37.979167,5,5086,-5.85,4.14281
-8.845833,37.979167,5,5143,-6.6625,2.00281
-8.845833,37.979167,5,5200,-7.75,1.64143
-8.845833,37.979167,5,5257,-5.875,3.60466
-8.845833,37.979167,5,5314,-7.075,0.961769
-8.845833,37.979167,5,5371,-6.6625,2.01986
-8.845833,37.979167,5,5428,-7.0375,1.13255
-8.845833,37.979167,5,5485,-7.225,2.38133
-8.845833,37.979167,5,5542,-6.9375,2.13337
-8.845833,37.979167,5,5599,-7.2,1.18322
-8.845833,37.979167,5,5656,-7.3125,0.980434
-8.845833,37.979167,5,5704,-6.4125,2.28125
-8.845833,37.979167,5,5739,-6.875,2.70858
-8.845833,37.979167,5,5773,-5.95,3.632
-8.845833,37.979167,5,5808,-5.4625,3.84557
-8.845833,37.979167,5,5877,-7.025,1.12599
-8.845833,37.979167,5,5946,-7.7125,3.74411
-8.845833,37.979167,5,5981,-5.125,3.20613
-8.845833,37.979167,5,6016,-6.575,4.81122
-8.845833,37.979167,5,6050,-4.4375,3.72441
-8.845833,37.979167,5,6137,-5.95,3.38864
-8.845833,37.979167,5,6189,-6.075,3.75908
-8.845833,37.979167,5,6242,-5.25,4.23388
-8.845833,37.979167,5,6294,-5.3875,3.79678
-8.845833,37.979167,5,6346,-5.9375,2.69122
-8.845833,37.979167,5,6451,-7.5,0.956183
-8.845833,37.979167,5,6503,-7.1625,3.12178
-8.845833,37.979167,5,6555,-7.75,3.32738
-8.845833,37.979167,5,6607,-6.225,4.75928
-8.845833,37.979167,5,6660,-5.175,3.72127
-8.845833,37.979167,5,6712,-3.85,3.43012
-8.845833,37.979167,5,6764,-7.3125,3.46016
-8.845833,37.979167,5,6816,-5.275,2.73692
-8.845833,37.979167,5,6902,-5.125,3.12856
-8.845833,37.979167,5,6903,-5.975,4.79188
-8.845833,37.979167,5,6905,-4.125,4.56313
-8.845833,37.979167,5,6907,-6.35,4.33524
-8.845833,37.979167,5,6909,-6.275,3.64015
-8.845833,37.979167,5,6910,-7.225,4.08683
-8.845833,37.979167,5,6912,-5.5375,4.27583
-8.845833,37.979167,5,6914,-6.3625,3.53551
-8.845833,37.979167,5,6916,-4.875,3.24467
-8.845833,37.979167,5,6920,-4.9875,1.28223
-8.845833,37.979167,5,6922,-6.55,4.48394
-8.845833,37.979167,5,6924,-5.425,3.50296
-8.845833,37.979167,5,6926,-6.1625,3.59283
-8.845833,37.979167,5,6928,-7.475,4.05172
-8.845833,37.979167,5,6930,-6.375,1.47817
-8.845833,37.979167,5,6932,-4.1,2.66726
-8.845833,37.979167,5,6936,-5.0125,3.00782
-8.845833,37.979167,5,6938,-5.125,3.12856
-8.845833,37.979167,5,6941,-5.2625,3.21556
-8.845833,37.979167,5,6945,-6.325,3.36357
-8.845833,37.979167,5,6949,-5.0125,3.00782
-8.845833,37.979167,5,6951,-6.05,3.00808
-8.845833,37.979167,5,6951,-4.35,3.38821
-8.845833,37.979167,5,6953,-7.55,3.68704
-8.845833,37.979167,5,6955,-5.5,3.81426
-8.845833,37.979167,5,6957,-4.8625,3.68431
-8.845833,37.979167,5,6959,-5.525,4.02909
-8.845833,37.979167,5,6961,-4.525,3.11849
-8.845833,37.979167,5,6963,-7.6625,2.08939
-8.845833,37.979167,5,6964,-4.9125,3.32928
-8.845833,37.979167,5,6990,-6.875,4.40316
-8.845833,37.979167,5,7011,-5.525,2.21795
-8.845833,37.979167,5,7023,-5.3625,4.0064
-8.845833,37.979167,5,7060,-5.4375,4.16651
-8.845833,37.979167,5,7106,-7.7875,3.19439
-8.845833,37.979167,5,7127,-5.4875,3.4328
-8.845833,37.979167,5,7148,-7.7125,2.28062
-8.845833,37.979167,5,7197,-7.4625,2.69175
-8.845833,37.979167,5,7305,-7.75,2.58567
-8.845833,37.979167,5,7430,-5.85,3.95872
-8.845833,37.979167,5,7447,-6.175,2.48122
-8.845833,37.979167,5,7500,-7.5375,3.79546
-8.845833,37.979167,5,7521,-6.8875,4.26797
-8.845833,37.979167,5,8305,-6.5875,4.65386
-8.808889,38.071111,2,-120,0,0
-8.808889,38.071111,2,-70,0,0
-8.808889,38.071111,2,-30,0,0
-8.808889,38.071111,2,-10,0,0
-8.808889,38.071111,2,0,-6.8375,3.33764
-8.808889,38.071111,2,0,0,0
-8.808889,38.071111,2,40,-4.5875,3.52884
-8.808889,38.071111,2,120,-4.2125,3.66077
-8.808889,38.071111,2,160,-7.4375,2.08596
-8.808889,38.071111,2,200,-3.6,3.43927
-8.808889,38.071111,2,354,-3.55,3.62137
-8.808889,38.071111,2,892,-6.3625,3.87886
-8.808889,38.071111,2,1108,-7.5,1.09545
-8.808889,38.071111,2,1289,-5.8375,3.54398
-8.808889,38.071111,2,1650,-6.4125,4.72998
-8.808889,38.071111,2,2011,-6.8,2.71082
-8.808889,38.071111,2,2372,-5.6375,3.27847
-8.808889,38.071111,2,3094,-7.5125,1.89468
-8.808889,38.071111,2,3627,-6.6875,1.10639
-8.808889,38.071111,2,4673,-7.0625,4.09911
-8.808889,38.071111,2,5015,-6.8625,3.47725
-8.808889,38.071111,2,5069,-7.75,1.76068
-8.808889,38.071111,2,5123,-5.725,4.38039
-8.808889,38.071111,2,5230,-7.225,2.31563
-8.808889,38.071111,2,5445,-4.45,2.72187
-8.808889,38.071111,2,5552,-5.775,2.89717
-8.808889,38.071111,2,5659,-5.2625,2.56846
-8.808889,38.071111,2,5767,-5.8125,3.18274
-8.808889,38.071111,2,5874,-6.2625,1.45006
-8.808889,38.071111,2,5981,-5.65,2.88295
-8.808889,38.071111,2,6089,-5.1125,3.49426
-8.808889,38.071111,2,6142,-5.475,2.76703
-8.808889,38.071111,2,6200,-6.6,1.46092
-8.808889,38.071111,2,6333,-5.8875,3.3056
-8.808889,38.071111,2,6600,-6.05,3.62688
-8.808889,38.071111,2,6733,-5.95,3.25181
-8.808889,38.071111,2,6866,-6.3875,3.64356
-8.808889,38.071111,2,6999,-5.775,3.28623
-8.808889,38.071111,2,7132,-5.6,3.61742
-8.808889,38.071111,2,7266,-5.875,4.42646
-8.808889,38.071111,2,7399,-5.9375,3.50385
-8.808889,38.071111,2,7532,-7.45,3.8415
-8.808889,38.071111,2,7665,-5.9125,4.36494
-8.808889,38.071111,2,7865,-6.65,3.98246
-8.7725,38.304444,3,-120,0,0
-8.7725,38.304444,3,-70,0,0
-8.7725,38.304444,3,-30,0,0
-8.7725,38.304444,3,-10,0,0
-8.7725,38.304444,3,0,0,0
-8.7725,38.304444,3,65,-4.35,3.39032
-8.7725,38.304444,3,143,-5.0375,4.11719
-8.7725,38.304444,3,1535,-7.75,3.68084
-8.7725,38.304444,3,1548,-7.8375,1.52497
-8.7725,38.304444,3,1555,-7.2,2.74434
-8.7725,38.304444,3,1560,-7.8,1.5269
-8.7725,38.304444,3,1572,-7.9125,2.62539
-8.7725,38.304444,3,1622,-7.6875,3.17825
-8.7725,38.304444,3,1647,-7.7,1.9376
